VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,"5/1/2023, 7:02:03 AM","5/1/2023, 7:22:04 AM",N,1,130,205,1,3.12,19.8,0,0.5,0,0,-,1,21.3,2,1,0
2,"5/1/2023, 6:39:58 AM","5/1/2023, 7:19:48 AM",N,2,74,132,1,17.3,70,0,0.5,5,6.55,-,1,83.05,1,1,0
2,"5/1/2023, 6:01:28 AM","5/1/2023, 6:08:33 AM",N,1,41,166,1,0.74,7.9,0,0.5,0,0,-,1,9.4,1,1,0
2,"5/1/2023, 6:16:42 AM","5/1/2023, 6:36:27 AM",N,1,75,163,1,2.61,19.1,0,0.5,4.67,0,-,1,28.02,1,1,2.75
1,"5/1/2023, 6:41:09 AM","5/1/2023, 6:44:17 AM",N,1,247,42,1,0.7,5.8,0,1.5,5,0,-,1,12.3,1,1,0
2,"5/1/2023, 6:59:17 AM","5/1/2023, 7:02:18 AM",N,1,75,74,1,0.6,5.8,0,0.5,0,0,-,1,7.3,2,1,0
2,"5/1/2023, 7:00:37 AM","5/1/2023, 7:00:55 AM",N,1,193,193,1,0,0,0,0,0,0,-,0,0,1,1,0
1,"5/1/2023, 7:52:19 AM","5/1/2023, 7:58:05 AM",N,1,7,145,1,1,7.9,0,1.5,0,0,-,1,9.4,2,1,0
1,"5/1/2023, 7:59:05 AM","5/1/2023, 7:59:13 AM",N,1,145,145,0,1,3,0,1.5,0,0,-,1,4.5,2,1,0
1,"5/1/2023, 7:11:49 AM","5/1/2023, 7:18:36 AM",Y,1,145,145,1,0,7.2,0,1.5,0,0,-,1,8.7,2,1,0
1,"5/1/2023, 7:33:10 AM","5/1/2023, 7:34:40 AM",N,1,145,145,1,0,3.7,0,1.5,0,0,-,1,5.2,2,1,0
1,"5/1/2023, 7:35:27 AM","5/1/2023, 7:55:20 AM",N,1,145,145,1,0,16.3,0,1.5,0,0,-,1,17.8,2,1,0
2,"5/1/2023, 7:43:43 AM","5/1/2023, 7:48:03 AM",N,1,7,223,1,0.61,6.5,0,0.5,0,0,-,1,8,2,1,0
2,"5/1/2023, 7:13:03 AM","5/1/2023, 7:21:23 AM",N,1,75,75,1,0.48,8.6,0,0.5,2,0,-,0.3,11.4,1,1,0
2,"5/1/2023, 7:46:50 AM","5/1/2023, 7:51:08 AM",N,1,75,74,1,0.54,6.5,0,0.5,0,0,-,0.3,7.3,2,1,0
2,"5/1/2023, 7:16:06 AM","5/1/2023, 7:43:30 AM",N,1,43,138,1,0,21.9,5,0.5,7.1,0,-,1,35.5,1,1,0
2,"5/1/2023, 7:46:41 AM","5/1/2023, 7:56:19 AM",N,1,74,24,1,1.81,11.4,0,0.5,2.58,0,-,1,15.48,1,1,0
2,"5/1/2023, 7:17:20 AM","5/1/2023, 7:45:01 AM",N,1,130,138,1,7.68,38.7,5,0.5,11.3,0,-,1,56.5,1,1,0
2,"5/1/2023, 7:56:21 AM","5/1/2023, 8:05:08 AM",N,1,116,42,1,1.3,10.7,0,0.5,0,0,-,1,12.2,2,1,0
2,"5/1/2023, 7:09:47 AM","5/1/2023, 7:42:18 AM",N,1,97,37,1,3.47,27.5,0,0.5,5.8,0,-,1,34.8,1,1,0
2,"5/1/2023, 8:02:55 AM","5/1/2023, 8:20:30 AM",N,1,259,174,1,3.44,19.8,0,0.5,4.26,0,-,1,25.56,1,1,0
1,"5/1/2023, 7:36:25 AM","5/1/2023, 7:54:50 AM",N,1,33,181,1,2.8,18.4,0,1.5,4.95,0,-,1,24.85,1,1,0
1,"5/1/2023, 7:32:23 AM","5/1/2023, 7:52:59 AM",N,1,74,262,1,2.8,17.7,2.75,1.5,4.35,0,-,1,26.3,1,1,2.75
2,"5/1/2023, 7:20:36 AM","5/1/2023, 7:25:51 AM",N,1,41,166,1,1.01,7.9,0,0.5,1.88,0,-,1,11.28,1,1,0
2,"5/1/2023, 7:36:03 AM","5/1/2023, 7:49:04 AM",N,1,166,43,1,2.25,14.9,0,0.5,1,0,-,1,20.15,1,1,2.75
2,"5/1/2023, 7:42:45 AM","5/1/2023, 7:54:24 AM",N,1,61,188,1,1.95,12.8,0,0.5,1.43,0,-,1,15.73,1,1,0
