VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2023-05-01 06:56:52,2023-05-01 07:09:33,N,1,75,239,1,2.01,14.2,0.0,0.5,1.0,0.0,-,1.0,19.45,1,1,2.75
2,2023-05-01 06:30:51,2023-05-01 06:50:46,N,1,82,7,1,3.05,20.5,0.0,0.5,2.0,0.0,-,1.0,24.0,1,1,0.0
2,2023-05-01 06:22:02,2023-05-01 06:34:23,N,1,74,42,1,1.35,12.8,0.0,0.5,0.0,0.0,-,1.0,14.3,2,1,0.0
2,2023-05-01 06:46:03,2023-05-01 06:56:24,N,1,74,166,2,1.33,10.7,0.0,0.5,2.44,0.0,-,1.0,14.64,1,1,0.0
2,2023-05-01 07:03:21,2023-05-01 07:12:47,N,1,92,92,1,0.84,10.0,0.0,0.5,2.3,0.0,-,1.0,13.8,1,1,0.0
1,2023-05-01 06:46:28,2023-05-01 07:24:21,N,1,213,140,3,9.5,41.5,2.75,1.5,0.0,0.0,-,1.0,45.75,2,1,2.75
2,2023-05-01 06:26:34,2023-05-01 06:40:26,N,1,82,138,2,3.79,19.1,5.0,0.5,0.0,0.0,-,1.0,25.6,2,1,0.0
2,2023-05-01 06:04:28,2023-05-01 06:16:31,N,1,74,238,1,2.41,13.5,0.0,0.5,1.0,0.0,-,1.0,18.75,1,1,2.75
2,2023-05-01 06:14:14,2023-05-01 06:27:46,N,1,74,236,2,2.51,14.9,0.0,0.5,3.83,0.0,-,1.0,22.98,1,1,2.75
2,2023-05-01 06:30:48,2023-05-01 06:41:34,N,1,41,43,1,1.92,12.8,0.0,0.5,0.0,0.0,-,1.0,17.05,2,1,2.75
2,2023-05-01 06:12:35,2023-05-01 06:19:49,N,1,41,166,1,0.99,8.6,0.0,0.5,2.02,0.0,-,1.0,12.12,1,1,0.0
2,2023-05-01 06:14:46,2023-05-01 06:21:56,N,1,74,75,1,1.5,9.3,0.0,0.5,2.16,0.0,-,1.0,12.96,1,1,0.0
2,2023-05-01 06:26:05,2023-05-01 06:38:49,N,1,95,196,1,1.91,13.5,0.0,0.5,0.0,0.0,-,1.0,15.0,2,1,0.0
2,2023-05-01 06:34:09,2023-05-01 06:45:50,N,1,74,166,1,1.97,12.8,0.0,0.5,2.86,0.0,-,1.0,17.16,1,1,0.0
2,2023-05-01 06:37:12,2023-05-01 06:44:10,N,1,75,263,1,0.78,7.9,0.0,0.5,0.0,0.0,-,1.0,12.15,2,1,2.75
2,2023-05-01 06:55:23,2023-05-01 07:20:35,N,1,75,87,1,8.59,38.0,0.0,0.5,5.0,0.0,-,1.0,47.25,1,1,2.75
2,2023-05-01 06:12:22,2023-05-01 06:29:07,N,1,95,157,3,3.84,20.5,0.0,0.5,0.0,0.0,-,1.0,22.0,2,1,0.0
