VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
2,"4/30/2023, 8:16:06 PM","4/30/2023, 8:49:43 PM",2,18.52,2,N,132,50,1,70,0,0.5,10,6.55,1,92.3,2.5,1.75
2,"4/30/2023, 8:50:02 PM","4/30/2023, 8:55:05 PM",1,1.65,1,N,50,143,1,9.3,1,0.5,2.14,0,1,16.44,2.5,0
2,"4/30/2023, 7:59:43 PM","4/30/2023, 8:07:57 PM",6,1.61,1,N,68,161,1,10.7,1,0.5,3.14,0,1,18.84,2.5,0
2,"4/30/2023, 8:50:14 PM","4/30/2023, 9:13:03 PM",1,11.02,1,N,138,114,1,44.3,6,0.5,5.6,0,1,61.65,2.5,1.75
2,"4/30/2023, 8:51:46 PM","4/30/2023, 9:05:46 PM",1,7.94,1,N,70,263,1,31,1,0.5,5,6.55,1,49.3,2.5,1.75
2,"4/30/2023, 8:17:46 PM","4/30/2023, 8:22:08 PM",1,1.08,1,N,246,50,1,7.2,1,0.5,2.44,0,1,14.64,2.5,0
2,"4/30/2023, 8:06:30 PM","4/30/2023, 8:28:28 PM",1,9.5,1,N,138,238,1,39.4,6,0.5,11.19,6.55,1,68.89,2.5,1.75
2,"4/30/2023, 8:55:23 PM","4/30/2023, 9:25:40 PM",1,18.82,2,N,132,113,1,70,0,0.5,8,6.55,1,90.3,2.5,1.75
2,"4/30/2023, 8:46:55 PM","4/30/2023, 9:06:09 PM",1,11.23,1,N,138,243,1,42.2,6,0.5,14.06,6.55,1,72.06,0,1.75
2,"4/30/2023, 8:45:52 PM","4/30/2023, 9:13:11 PM",1,18.96,1,N,132,3,1,70.2,1,0.5,15.85,6.55,1,95.1,0,0
1,"4/30/2023, 8:13:55 PM","4/30/2023, 8:36:55 PM",1,10.8,1,N,138,143,1,42.2,10.25,0.5,12.1,6.55,1,72.6,2.5,1.75
1,"4/30/2023, 8:52:39 PM","4/30/2023, 8:59:19 PM",1,1.5,1,N,249,68,2,9.3,3.5,0.5,0,0,1,14.3,2.5,0
2,"4/30/2023, 8:00:48 PM","4/30/2023, 8:09:57 PM",1,2.25,1,N,237,107,1,12.8,1,0.5,3.56,0,1,21.36,2.5,0
1,"4/30/2023, 8:22:14 PM","4/30/2023, 8:55:35 PM",1,11.7,1,N,132,61,2,49.9,2.75,0.5,0,0,1,54.15,0,1.75
1,"4/30/2023, 8:38:46 PM","4/30/2023, 9:14:23 PM",1,20.3,2,N,132,141,1,70,2.5,0.5,16.1,6.55,1,96.65,2.5,0
2,"4/30/2023, 8:37:17 PM","4/30/2023, 8:56:06 PM",1,9.29,1,N,138,48,1,36.6,6,0.5,0,6.55,1,54.9,2.5,1.75
2,"4/30/2023, 8:55:31 PM","4/30/2023, 9:04:28 PM",1,1.55,1,N,107,186,1,10.7,1,0.5,4.71,0,1,20.41,2.5,0
2,"4/30/2023, 8:42:24 PM","4/30/2023, 9:08:54 PM",1,15.06,1,N,138,89,1,56.9,6,0.5,8,0,1,74.15,0,1.75
2,"4/30/2023, 8:22:53 PM","4/30/2023, 8:23:02 PM",2,0,1,N,132,132,2,3,1,0.5,0,0,1,7.25,0,1.75
2,"4/30/2023, 8:23:37 PM","4/30/2023, 8:49:42 PM",2,16.15,2,N,132,140,1,70,0,0.5,5,0,1,80.75,2.5,1.75
2,"4/30/2023, 8:19:14 PM","4/30/2023, 8:21:16 PM",1,0.49,1,N,142,142,2,5.1,1,0.5,0,0,1,10.1,2.5,0
2,"4/30/2023, 8:17:49 PM","4/30/2023, 8:39:11 PM",1,8.98,1,N,132,102,1,35.9,1,0.5,5,0,1,43.4,0,0
1,"4/30/2023, 8:03:09 PM","4/30/2023, 8:27:30 PM",1,6.2,1,N,100,129,1,30.3,3.5,0.5,5,0,1,40.3,2.5,0
2,"4/30/2023, 8:38:20 PM","4/30/2023, 9:12:28 PM",1,19.09,2,N,132,116,1,70,0,0.5,15.96,6.55,1,95.76,0,1.75
2,"4/30/2023, 8:36:48 PM","4/30/2023, 8:44:53 PM",1,1.56,1,N,142,43,1,10,1,0.5,0,0,1,15,2.5,0
2,"4/30/2023, 8:23:43 PM","4/30/2023, 8:33:08 PM",1,2.19,1,N,163,141,1,12.1,1,0.5,3.42,0,1,20.52,2.5,0
